account,classification,total_pnl,avg_pnl,trades,win_rate,avg_fee,avg_size_usd
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,60254.251561,50.253754429524605,1199,0.3377814845704754,1.2240410241868223,3948.5062552126774
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,0.0,0.0,45,0.0,0.044444422,9481.510444444444
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,1011.258943,3.745403492592593,270,0.22592592592592592,0.08729997407407408,601.996925925926
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,47791.247782,13.666356243065485,3497,0.4235058621675722,0.11090682756648557,1668.89697169002
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,12934.469345,5.565606430722891,2324,0.31841652323580033,0.20147830722891566,1171.4685886402754
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,35098.877549,8.529496366707168,4115,0.33754556500607535,0.12218830895948966,1174.6497837181046
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,9467.021637,1.7534768729394332,5399,0.31950361177995923,0.16771675990663087,1169.3571476199297
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,-961.048507,-192.2097014,5,0.0,0.10220860000000001,292.026
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,46411.26711,181.2940121484375,256,0.51953125,0.0964204502734375,1632.78890625
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,-16719.913714000002,-379.9980389545455,44,0.06818181818181818,3.1894510181818188,7128.183863636363
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,44169.810737,408.9797290462963,108,0.9537037037037037,0.22482333305555555,1185.982962962963
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,-53.631353999999995,-13.407838499999999,4,0.0,0.0316403675,157.265
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,622.41079,7.780134875,80,0.075,1.3299948125,3958.3206250000003
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,20925.513222,110.13428011578948,190,0.5526315789473685,1.0598014979473684,3387.3391578947367
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,8129.3406589999995,66.09220047967479,123,0.34959349593495936,0.8024198699186992,2388.1569105691055
